mode,label,pred,abs_err,delta_pred,primary_idx,primary_name,w_a,w_l,w_v,ib_conf_t,ib_conf_a,ib_conf_v,ib_conf_fused
original,0.3333333432674408,0.3062061071395874,0.027127236127853394,0.0,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
ones,0.3333333432674408,0.25218939781188965,0.08114394545555115,-0.054016709327697754,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
mean,0.3333333432674408,0.304428368806839,0.028904974460601807,-0.001777738332748413,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
shuffle,0.3333333432674408,0.304008424282074,0.02932491898536682,-0.0021976828575134277,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
invert,0.3333333432674408,0.23682600259780884,0.09650734066963196,-0.06938010454177856,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
low_mask,0.3333333432674408,0.2178046703338623,0.11552867293357849,-0.0884014368057251,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
