pos,input_id,subword,is_valid,conf_t,conf_a,conf_v,conf_fused
0,1,[CLS],1,0.621408224105835,0.5125871896743774,0.5171647071838379,0.5125871896743774
1,266,▁a,1,0.6309377551078796,0.5043893456459045,0.5160703063011169,0.5043893456459045
2,5276,▁witness,1,0.6249111890792847,0.5043893456459045,0.5138957500457764,0.5043893456459045
3,311,▁one,1,0.6220222115516663,0.5043893456459045,0.5118021965026855,0.5043893456459045
4,576,▁thing,1,0.6288045048713684,0.5043893456459045,0.5164688229560852,0.5043893456459045
5,272,▁that,1,0.6244666576385498,0.5043893456459045,0.5128370523452759,0.5043893456459045
6,520,▁might,1,0.6235288381576538,0.5043893456459045,0.5105501413345337,0.5043893456459045
7,1433,▁happen,1,0.6220990419387817,0.5043893456459045,0.5150750875473022,0.5043893456459045
8,323,▁.,1,0.6236512064933777,0.5043893456459045,0.505895733833313,0.5043893456459045
9,269,▁is,1,0.6227984428405762,0.5043893456459045,0.5119808912277222,0.5043893456459045
10,272,▁that,1,0.6241675615310669,0.5043893456459045,0.5143693685531616,0.5043893456459045
11,301,▁we,1,0.6321963667869568,0.5043893456459045,0.5129206776618958,0.5043893456459045
12,1052,▁allow,1,0.6219483017921448,0.5043893456459045,0.5128544569015503,0.5043893456459045
13,266,▁a,1,0.6214076280593872,0.5043893456459045,0.517212986946106,0.5043893456459045
14,5276,▁witness,1,0.6215440034866333,0.5043893456459045,0.5185929536819458,0.5043893456459045
15,891,▁simply,1,0.6233056783676147,0.5043893456459045,0.5198521614074707,0.5043893456459045
16,264,▁to,1,0.629554808139801,0.5043893456459045,0.5203658938407898,0.5043893456459045
17,5243,▁recall,1,0.6462695598602295,0.5043893456459045,0.5174107551574707,0.5043893456459045
18,758,▁everything,1,0.6267980337142944,0.5043893456459045,0.5158265233039856,0.5043893456459045
19,306,▁they,1,0.6313762068748474,0.5043893456459045,0.5123656988143921,0.5043893456459045
20,295,▁can,1,0.637850284576416,0.5043893456459045,0.5154435038566589,0.5043893456459045
21,497,▁without,1,0.622594952583313,0.5043893456459045,0.5141212940216064,0.5043893456459045
22,41113,▁interrupting,1,0.6471707820892334,0.5043893456459045,0.5177421569824219,0.5043893456459045
23,349,▁them,1,0.622265100479126,0.5043893456459045,0.5198010206222534,0.5043893456459045
24,323,▁.,1,0.6213734745979309,0.5043893456459045,0.5178319215774536,0.5043893456459045
25,491,▁something,1,0.6367100477218628,0.5043893456459045,0.5144463777542114,0.5043893456459045
26,2,[SEP],1,0.6229445934295654,0.5125871896743774,0.5171647071838379,0.5125871896743774
27,0,[PAD],0,0.0,0.0,0.0,0.0
28,0,[PAD],0,0.0,0.0,0.0,0.0
29,0,[PAD],0,0.0,0.0,0.0,0.0
30,0,[PAD],0,0.0,0.0,0.0,0.0
31,0,[PAD],0,0.0,0.0,0.0,0.0
32,0,[PAD],0,0.0,0.0,0.0,0.0
33,0,[PAD],0,0.0,0.0,0.0,0.0
34,0,[PAD],0,0.0,0.0,0.0,0.0
35,0,[PAD],0,0.0,0.0,0.0,0.0
36,0,[PAD],0,0.0,0.0,0.0,0.0
37,0,[PAD],0,0.0,0.0,0.0,0.0
38,0,[PAD],0,0.0,0.0,0.0,0.0
39,0,[PAD],0,0.0,0.0,0.0,0.0
40,0,[PAD],0,0.0,0.0,0.0,0.0
41,0,[PAD],0,0.0,0.0,0.0,0.0
42,0,[PAD],0,0.0,0.0,0.0,0.0
43,0,[PAD],0,0.0,0.0,0.0,0.0
44,0,[PAD],0,0.0,0.0,0.0,0.0
45,0,[PAD],0,0.0,0.0,0.0,0.0
46,0,[PAD],0,0.0,0.0,0.0,0.0
47,0,[PAD],0,0.0,0.0,0.0,0.0
48,0,[PAD],0,0.0,0.0,0.0,0.0
49,0,[PAD],0,0.0,0.0,0.0,0.0
